Method,Iteration,R2 Score,Best Fitness,Elapsed Time
prediction_GA_min,6,0.678450990494851,0.09727505594491959,236.6399867309956
prediction_GA_min,7,0.6778131290425595,0.0975235104560852,237.82721919499454
prediction_GA_min,8,0.6820563981994765,0.0970645472407341,239.61684536898974
prediction_GA_min,9,0.6835011032615086,0.09711622446775436,238.1807503149903
prediction_GA_min,10,0.6781973179400802,0.0978434681892395,238.31958998498158
prediction_GA_max,1,0.593389187227014,0.11215263605117798,237.45816568701412
prediction_GA_max,2,0.5967541026839891,0.11223741620779037,238.28823616498266
prediction_GA_max,3,0.6019603894180788,0.11189287900924683,236.6321692049969
prediction_GA_max,4,0.5922307467587969,0.11236974596977234,237.11169904301642
prediction_GA_max,5,0.5998149547229132,0.11185089498758316,238.04860856902087
prediction_GA_max,6,0.5914038675676445,0.11263865977525711,238.99509594400297
prediction_GA_max,7,0.5990922794832696,0.11160887777805328,238.88801474301727
prediction_GA_max,8,0.601989333976326,0.11182673275470734,238.57246338098776
prediction_GA_max,9,0.5893862965859552,0.11215494573116302,240.56172853600583
prediction_GA_max,10,0.5942864836553758,0.11208349466323853,236.42337102198508
prediction_PSO_min,1,0.680415289626408,0.09747333079576492,72.33704803700675
prediction_PSO_min,2,0.6772343744796527,0.09794707596302032,71.83484456298174
prediction_PSO_min,3,0.6763115741336594,0.09762811660766602,72.53404481700272
prediction_PSO_min,4,0.6740316307552189,0.09763825684785843,71.90338401900954
prediction_PSO_min,5,0.6732429466689411,0.09799697995185852,71.64968186299666
prediction_PSO_min,6,0.6794022828937931,0.09771133214235306,71.6343842940114
prediction_PSO_min,7,0.6802216138036443,0.09746316820383072,71.84233570098877
prediction_PSO_min,8,0.6783817462772515,0.09745513647794724,72.13528587800101
prediction_PSO_min,9,0.6807230210287234,0.09751839935779572,72.1482117070118
prediction_PSO_min,10,0.678241198038176,0.09756822139024734,71.75879967500805
prediction_PSO_max,1,0.5883301450767546,0.11335659772157669,71.82577355700778
prediction_PSO_max,2,0.5829685477210003,0.11224187910556793,72.08762864698656
prediction_PSO_max,3,0.5947213270257731,0.11289390921592712,72.15727777799475
prediction_PSO_max,4,0.5895014572051851,0.11266889423131943,72.40339470398612
prediction_PSO_max,5,0.5928953228898803,0.11231942474842072,71.72586303099524
prediction_PSO_max,6,0.5922867834212755,0.11224371939897537,72.61369155801367
prediction_PSO_max,7,0.586541324434267,0.11289864778518677,72.3771740749944
prediction_PSO_max,8,0.5889094460623916,0.11268589645624161,72.56788777999463
prediction_PSO_max,9,0.5847274818787834,0.11313414573669434,71.86170348900487
prediction_PSO_max,10,0.5778612166232802,0.1131473034620285,72.06459520201315
regression_BACKPROPAGATION_outlier,1,0.9980706431369653,0.0714579780199041,6.7420765990100335
regression_BACKPROPAGATION_outlier,2,0.9975002820530977,0.08133733621411751,5.36756711898488
regression_BACKPROPAGATION_outlier,3,0.9978593613777507,0.07526899538126282,5.558329227002105
regression_BACKPROPAGATION_outlier,4,0.9982472902322991,0.06810820657059176,5.364194212015718
regression_BACKPROPAGATION_outlier,5,0.9973628688739344,0.08354304556969379,5.350390954990871
